category,category_slug,name,synonyms,has_side
Двигатель,dvigatel,Дроссельная заслонка,дроссельная заслонка|дроссель,false
Двигатель,dvigatel,Помпа,помпа|водяной насос|насос охлаждающей жидкости,false
Двигатель,dvigatel,Натяжитель ремня,натяжитель ремня|натяжитель,false
Двигатель,dvigatel,Обводной ролик,обводной ролик|ролик,false
Двигатель,dvigatel,Опора двигателя,опора двигателя|подушка двигателя|подушка двс,true
Двигатель,dvigatel,Масляный насос,масляный насос|насос масляный,false
Двигатель,dvigatel,Катушка зажигания,катушка зажигания|катушка,false
Двигатель,dvigatel,Масляный фильтр,масляный фильтр|фильтр масляный,false
Трансмиссия,transmissiya,Автоматическая коробка передач,акпп|автомат|коробка автомат|автоматическая коробка,false
Трансмиссия,transmissiya,Механическая коробка передач,мкпп|механика|коробка механика|механическая коробка,false
Трансмиссия,transmissiya,Вариатор,вариатор|cvt,false
Трансмиссия,transmissiya,Раздаточная коробка,раздаточная коробка|раздатка,false
Трансмиссия,transmissiya,Редуктор задний,редуктор задний|задний редуктор,false
Трансмиссия,transmissiya,Редуктор передний,редуктор передний|передний редуктор,false
Трансмиссия,transmissiya,Карданный вал,карданный вал|кардан,false
Трансмиссия,transmissiya,Привод,привод|полуось|приводной вал,true
Трансмиссия,transmissiya,Сцепление,сцепление,false
Трансмиссия,transmissiya,Корзина сцепления,корзина сцепления|корзина,false
Трансмиссия,transmissiya,Диск сцепления,диск сцепления,false
Трансмиссия,transmissiya,Выжимной подшипник,выжимной подшипник|выжимной,false
Трансмиссия,transmissiya,ШРУС наружный,шрус наружный|граната наружная,true
Трансмиссия,transmissiya,ШРУС внутренний,шрус внутренний|граната внутренняя,true
Трансмиссия,transmissiya,Гидротрансформатор,гидротрансформатор|бублик,false
Трансмиссия,transmissiya,Кулиса,кулиса|селектор|рычаг кпп,false
Подвеска и рулевое,podveska,Амортизатор,амортизатор|аморт,true
Подвеска и рулевое,podveska,Стойка амортизатора,стойка амортизатора|стойка аморт,true
Подвеска и рулевое,podveska,Пружина,пружина,true
Подвеска и рулевое,podveska,Рычаг,рычаг|рычаг подвески,true
Подвеска и рулевое,podveska,Шаровая опора,шаровая опора|шаровая,true
Подвеска и рулевое,podveska,Ступица,ступица,true
Подвеска и рулевое,podveska,Поворотный кулак,поворотный кулак|кулак|цапфа,true
Подвеска и рулевое,podveska,Задняя балка,задняя балка|балка,false
Подвеска и рулевое,podveska,Подрамник,подрамник,false
Подвеска и рулевое,podveska,Стабилизатор,стабилизатор,false
Подвеска и рулевое,podveska,Стойка стабилизатора,стойка стабилизатора|линк|косточка,true
Подвеска и рулевое,podveska,Сайлентблок,сайлентблок|сайлент,true
Подвеска и рулевое,podveska,Рулевая рейка,рулевая рейка|рейка,false
Подвеска и рулевое,podveska,Рулевая тяга,рулевая тяга|тяга рулевая,true
Подвеска и рулевое,podveska,Рулевой наконечник,рулевой наконечник|наконечник рулевой|наконечник,true
Подвеска и рулевое,podveska,Насос ГУР,насос гур|гур,false
Подвеска и рулевое,podveska,Рулевая колонка,рулевая колонка|колонка,false
Подвеска и рулевое,podveska,Руль,руль|рулевое колесо,false
Тормозная система,tormoza,Суппорт,суппорт,true
Тормозная система,tormoza,Тормозной диск,тормозной диск|диск тормозной,true
Тормозная система,tormoza,Тормозной барабан,тормозной барабан|барабан,true
Тормозная система,tormoza,Тормозные колодки,тормозные колодки|колодки,false
Тормозная система,tormoza,Главный тормозной цилиндр,главный тормозной цилиндр|гтц,false
Тормозная система,tormoza,Вакуумный усилитель,вакуумный усилитель|вакуумник,false
Тормозная система,tormoza,Блок ABS,блок abs|абс|блок абс,false
Тормозная система,tormoza,Трос ручника,трос ручника|трос ручного тормоза,true
Тормозная система,tormoza,Тормозной шланг,тормозной шланг|шланг тормозной,true
Электрика,elektrika,Блок управления двигателем,блок управления двигателем|эбу|мозги,false
Электрика,elektrika,Блок предохранителей,блок предохранителей|монтажный блок,false
Электрика,elektrika,Блок комфорта,блок комфорта|бкс,false
Электрика,elektrika,Жгут проводов,жгут проводов|проводка|жгут|коса,false
Электрика,elektrika,Аккумулятор,аккумулятор|акб,false
Электрика,elektrika,Датчик ABS,датчик abs|датчик абс,true
Электрика,elektrika,Датчик кислорода,датчик кислорода|лямбда|лямбда-зонд,false
Электрика,elektrika,Датчик коленвала,датчик коленвала|дпкв,false
Электрика,elektrika,Датчик распредвала,датчик распредвала|дпрв,false
Электрика,elektrika,Датчик массового расхода воздуха,дмрв|датчик массового расхода воздуха|расходомер,false
Электрика,elektrika,Датчик детонации,датчик детонации,false
Электрика,elektrika,Подушка безопасности,подушка безопасности|airbag|аирбег,true
Электрика,elektrika,Ремень безопасности,ремень безопасности|ремень,true
Электрика,elektrika,Блок SRS,блок srs|блок подушек|блок airbag,false
Электрика,elektrika,Моторчик стеклоподъёмника,моторчик стеклоподъемника|моторчик стеклоподъёмника,true
Электрика,elektrika,Стеклоподъёмник,стеклоподъемник|стеклоподъёмник,true
Электрика,elektrika,Моторчик печки,моторчик печки|вентилятор печки|моторчик отопителя,false
Электрика,elektrika,Моторчик стеклоочистителя,моторчик стеклоочистителя|моторчик дворников,false
Электрика,elektrika,Звуковой сигнал,звуковой сигнал|сигнал|клаксон,false
Электрика,elektrika,Замок зажигания,замок зажигания,false
Электрика,elektrika,Магнитола,магнитола|головное устройство|автомагнитола,false
Электрика,elektrika,Камера заднего вида,камера заднего вида|камера,false
Электрика,elektrika,Парктроник,парктроник|датчик парковки,false
Салон,salon,Сиденье переднее,сиденье переднее|переднее сиденье|кресло переднее,true
Салон,salon,Сиденье заднее,сиденье заднее|заднее сиденье|диван,false
Салон,salon,Панель приборов,панель приборов|торпедо|торпеда,false
Салон,salon,Щиток приборов,щиток приборов|приборка|приборная панель,false
Салон,salon,Перчаточный ящик,перчаточный ящик|бардачок,false
Салон,salon,Центральная консоль,центральная консоль|консоль|тоннель,false
Салон,salon,Обшивка двери,обшивка двери|карта двери|обивка двери,true
Салон,salon,Обивка потолка,обивка потолка|потолок,false
Салон,salon,Ковролин,ковролин|ковёр|ковер,false
Салон,salon,Подлокотник,подлокотник,false
Салон,salon,Солнцезащитный козырёк,солнцезащитный козырек|козырёк|козырек,true
Салон,salon,Блок управления печкой,блок управления печкой|климат-контроль|блок печки,false
Салон,salon,Дефлектор,дефлектор|воздуховод,false
Стёкла и зеркала,stekla,Лобовое стекло,лобовое стекло|лобовое|ветровое стекло,false
Стёкла и зеркала,stekla,Заднее стекло,заднее стекло|стекло заднее,false
Стёкла и зеркала,stekla,Стекло двери,стекло двери|боковое стекло,true
Стёкла и зеркала,stekla,Форточка,форточка|стекло форточки,true
Стёкла и зеркала,stekla,Зеркало наружное,зеркало наружное|зеркало|боковое зеркало,true
Стёкла и зеркала,stekla,Зеркало салонное,зеркало салонное|зеркало заднего вида,false
Охлаждение и отопление,ohlazhdenie,Радиатор охлаждения,радиатор охлаждения|радиатор|основной радиатор,false
Охлаждение и отопление,ohlazhdenie,Радиатор кондиционера,радиатор кондиционера|конденсер|радиатор кондея,false
Охлаждение и отопление,ohlazhdenie,Радиатор печки,радиатор печки|радиатор отопителя,false
Охлаждение и отопление,ohlazhdenie,Интеркулер,интеркулер|радиатор интеркулера,false
Охлаждение и отопление,ohlazhdenie,Вентилятор охлаждения,вентилятор охлаждения|вентилятор радиатора,false
Охлаждение и отопление,ohlazhdenie,Диффузор вентилятора,диффузор вентилятора|диффузор,false
Охлаждение и отопление,ohlazhdenie,Расширительный бачок,расширительный бачок|бачок,false
Охлаждение и отопление,ohlazhdenie,Патрубок,патрубок|шланг,false
Охлаждение и отопление,ohlazhdenie,Термостат,термостат,false
Охлаждение и отопление,ohlazhdenie,Испаритель,испаритель,false
Охлаждение и отопление,ohlazhdenie,Осушитель кондиционера,осушитель кондиционера|осушитель,false
Охлаждение и отопление,ohlazhdenie,Трубка кондиционера,трубка кондиционера|магистраль кондиционера,false
Охлаждение и отопление,ohlazhdenie,Отопитель,отопитель|печка,false
Выпуск и топливо,vypusk,Глушитель,глушитель|банка,false
Выпуск и топливо,vypusk,Резонатор,резонатор,false
Выпуск и топливо,vypusk,Катализатор,катализатор|кат,false
Выпуск и топливо,vypusk,Приёмная труба,приемная труба|приёмная труба|штаны,false
Выпуск и топливо,vypusk,Гофра,гофра,false
Выпуск и топливо,vypusk,Топливный бак,топливный бак|бак|бензобак,false
Выпуск и топливо,vypusk,Топливный насос,топливный насос|бензонасос,false
Выпуск и топливо,vypusk,Датчик уровня топлива,датчик уровня топлива|дут,false
Выпуск и топливо,vypusk,Крышка бензобака,крышка бензобака|лючок бензобака,false
Выпуск и топливо,vypusk,Топливный фильтр,топливный фильтр|фильтр топливный,false
Выпуск и топливо,vypusk,Адсорбер,адсорбер,false
Колёса,kolesa,Диск колёсный,диск колесный|диск колёсный|диск,false
Колёса,kolesa,Шина,шина|покрышка|резина,false
Колёса,kolesa,Колесо в сборе,колесо в сборе|колесо,false
Колёса,kolesa,Колпак колеса,колпак колеса|колпак,false
Колёса,kolesa,Датчик давления в шинах,датчик давления в шинах|датчик давления,false
Колёса,kolesa,Запасное колесо,запасное колесо|запаска|докатка,false
