brand_slug,slug,name
mercedes-benz,r-class,R-Class
mercedes-benz,s-class,S-Class
mercedes-benz,sl-class,SL-Class
mercedes-benz,slc-class,SLC-Class
mercedes-benz,slk-class,SLK-Class
mercedes-benz,slr_mclaren,SLR McLaren
mercedes-benz,sls_amg,SLS AMG
mercedes-benz,v-class,V-Class
mercedes-benz,vaneo,Vaneo
mercedes-benz,viano,Viano
mercedes-benz,vito,Vito
mercedes-benz,vle,VLE
mercedes-benz,w108,W108
mercedes-benz,w111,W111
mercedes-benz,w114,W114
mercedes-benz,w115,W115
mercedes-benz,w120,W120
mercedes-benz,w121,W121
mercedes-benz,w123,W123
mercedes-benz,w128,W128
mercedes-benz,w136,W136
mercedes-benz,w142,W142
mercedes-benz,w143,W143
mercedes-benz,w180,W180
mercedes-benz,w187,W187
mercedes-benz,w189,W189
mercedes-benz,w21,W21
mercedes-benz,x-class,X-Class
evolute,i-jet,i-Jet
evolute,i-joy,i-Joy
evolute,i-pro,i-Pro
evolute,i-sky,i-Sky
evolute,i-space,i-Space
evolute,i-van,i-Van
eonyx,m2,M2
amc,marlin,Marlin
doninvest,assol,Ассоль
doninvest,kondor,Кондор
doninvest,orion,Орион
doninvest,orion_m,Орион-М
nordcross,001,001
gaz,12_zim,12 ЗИМ
gaz,gaz-13_chaika,13 Чайка
gaz,gaz-14_chaika,14 Чайка
gaz,18,18
gaz,21_volga,21 Волга
gaz,22_volga,22 Волга
gaz,gaz-2330_tigr,2330 Тигр
gaz,24_volga,24 Волга
gaz,3102_volga,3102 Волга
gaz,31029_volga,31029 Волга
gaz,3105_volga,3105 Волга
gaz,3110_volga,3110 Волга
gaz,31105_volga,31105 Волга
gaz,3111_volga,3111 Волга
gaz,67,67
gaz,69,69
gaz,avrora,Аврора
gaz,volga_siber,Волга Сайбер
gaz,m-72,М-72
gaz,m1,М1
gaz,pobeda,Победа
gaz,sobol_nn,Соболь НН
gaz,trofim,Трофим
audi,50,50
audi,80,80
audi,90,90
audi,100,100
audi,200,200
audi,a1,A1
audi,a2,A2
audi,a3,A3
audi,a4,A4
audi,a4_allroad_quattro,A4 allroad quattro
audi,a5,A5
audi,a5l,A5L
audi,a6,A6
audi,a6_allroad_quattro,A6 allroad quattro
audi,a6_e-tron,A6 e-tron
audi,a7,A7
audi,a8,A8
audi,cabriolet,Cabriolet
audi,coupe-model,Coupe
audi,e-tron,e-tron
audi,e-tron_gt,e-tron GT
audi,e-tron_s,e-tron S
audi,e-tron_sportback,e-tron Sportback
audi,e-tron_sportback_s,e-tron Sportback S
audi,e5_sportback,E5 Sportback
audi,e7x,E7X
audi,nuvolari,Nuvolari
audi,q2,Q2
audi,q2_e-tron,Q2 e-tron
audi,q3,Q3
audi,q3_sportback,Q3 Sportback
audi,q4_e-tron,Q4 e-tron
audi,q4_sportback_e-tron,Q4 Sportback e-tron
audi,q5,Q5
audi,q5_e-tron,Q5 e-tron
audi,q5_sportback,Q5 Sportback
audi,q6,Q6
audi,q6_e-tron,Q6 e-tron
audi,q6_e-tron_sportback,Q6 e-tron Sportback
audi,q7,Q7
audi,q8,Q8
audi,q8_e-tron,Q8 e-tron
audi,q8_sportback_e-tron,Q8 Sportback e-tron
audi,q9,Q9
audi,quattro,Quattro
audi,quattro_sport,Quattro Sport
audi,r8,R8
audi,rs_e-tron_gt,RS e-tron GT
audi,rs_q3,RS Q3
audi,rs_q3_sportback,RS Q3 Sportback
audi,rs_q8,RS Q8
audi,rs2,RS2
audi,rs3,RS3
audi,rs4,RS4
audi,rs5,RS5
audi,rs6,RS6
audi,rs7,RS7
audi,s1,S1
audi,s2,S2
audi,s3,S3
audi,s4,S4
audi,s5,S5
audi,s6,S6
audi,s6_e-tron,S6 e-tron
audi,s7,S7
audi,s8,S8
audi,sq2,SQ2
audi,sq5,SQ5
audi,sq5_sportback,SQ5 Sportback
audi,sq6_e-tron,SQ6 e-tron
audi,sq6_e-tron_sportback,SQ6 e-tron Sportback
audi,sq7,SQ7
audi,sq8,SQ8
audi,sq8_e-tron,SQ8 e-tron
audi,sq8_sportback_e-tron,SQ8 Sportback e-tron
audi,sq9,SQ9
audi,tt,TT
audi,tt_rs,TT RS
audi,tts,TTS
audi,v8,V8
dadi,city_leading,City Leading
dadi,smoothing,Smoothing
ifa,multicar_25,Multicar 25
rolls-royce,20-25,20/25
rolls-royce,corniche,Corniche
rolls-royce,cullinan,Cullinan
rolls-royce,dawn,Dawn
rolls-royce,flying_spur,Flying Spur
rolls-royce,ghost,Ghost
rolls-royce,park_ward,Park Ward
rolls-royce,phantom,Phantom
rolls-royce,silver_cloud,Silver Cloud
rolls-royce,silver_seraph,Silver Seraph
rolls-royce,silver_spirit,Silver Spirit
rolls-royce,silver_spur,Silver Spur
rolls-royce,spectre,Spectre
rolls-royce,wraith,Wraith
peugeot,104,104
peugeot,106,106
peugeot,107,107
peugeot,108,108
peugeot,1007,1007
peugeot,201,201
peugeot,202,202
peugeot,203,203
peugeot,204,204
peugeot,205,205
peugeot,206,206
peugeot,207,207
peugeot,208,208
peugeot,2008,2008
peugeot,207i,207i
peugeot,301,301
peugeot,304,304
peugeot,305,305
peugeot,306,306
peugeot,307,307
peugeot,308,308
peugeot,309,309
peugeot,3008,3008
peugeot,403,403
peugeot,404,404
peugeot,405,405
peugeot,406,406
peugeot,407,407
peugeot,408,408
peugeot,4007,4007
peugeot,4008,4008
peugeot,504,504
peugeot,505,505
peugeot,508,508
peugeot,5008,5008
peugeot,604,604
peugeot,605,605
peugeot,607,607
peugeot,806,806
peugeot,807,807
peugeot,bipper,Bipper
peugeot,expert,Expert
peugeot,hoggar,Hoggar
peugeot,ion,iOn
peugeot,partner,Partner
peugeot,partner_origin,Partner Origin
peugeot,partner_tepee,Partner Tepee
peugeot,rcz,RCZ
peugeot,rifter,Rifter
peugeot,traveller,Traveller
xpeng,g3,G3
xpeng,g6,G6
xpeng,g7,G7
xpeng,g9,G9
xpeng,gx,GX
xpeng,m03,M03
xpeng,p5,P5
xpeng,p7,P7
xpeng,p7plus,P7+
xpeng,x9,X9
lamborghini,aventador,Aventador
lamborghini,countach,Countach
lamborghini,diablo,Diablo
lamborghini,gallardo,Gallardo
lamborghini,huracan,Huracan
lamborghini,lm_002,LM 002
lamborghini,murcielago,Murcielago
lamborghini,revuelto,Revuelto
lamborghini,sian,Sian
lamborghini,temerario,Temerario
lamborghini,urus,Urus
rising_auto,er6,ER6
rising_auto,f7,F7
rising_auto,marvel_r,Marvel R
rising_auto,r7,R7
kavz,3976,3976
kavz,4235,4235
kavz,4238,4238 Аврора
kavz,4270,4270
renault,4,4
renault,4_e_tech,4 E-Tech
renault,11,11
renault,14,14
renault,18,18
renault,19,19
renault,21,21
renault,25,25
renault,5_e_tech,5 E-Tech
renault,alaskan,Alaskan
renault,arkana,Arkana
renault,austral,Austral
renault,avantime,Avantime
renault,captur,Captur
renault,city_k-ze,City K-ZE
renault,clio,Clio
renault,dokker,Dokker
renault,dokker_stepway,Dokker Stepway
renault,duster,Duster
renault,espace,Espace
renault,estafette,Estafette
renault,express,Express
renault,filante,Filante
renault,fluence,Fluence
renault,fluence_ze,Fluence Z.E.
renault,grand_koleos,Grand Koleos
renault,grand_scenic,Grand Scenic
renault,kadjar,Kadjar
renault,kangoo,Kangoo
renault,kangoo_ze,Kangoo Z.E.
renault,kaptur,Kaptur
renault,koleos,Koleos
renault,kwid,KWID
renault,laguna,Laguna
renault,latitude,Latitude
renault,lodgy,Lodgy
renault,logan,Logan
renault,logan_stepway,Logan Stepway
renault,lutecia,Lutecia
renault,megane,Megane
renault,modus,Modus
renault,qm6,QM6
renault,r5,R5
renault,r9,R9
renault,rafale,Rafale
renault,safrane,Safrane
renault,sandero,Sandero
renault,sandero_stepway,Sandero Stepway
renault,scenic,Scenic
renault,scenic_rx4,Scenic RX4
renault,sport_spider,Sport Spider
renault,symbol,Symbol
renault,talisman,Talisman
renault,trafic,Trafic
renault,twingo,Twingo
renault,twizy,Twizy
renault,vel_satis,Vel Satis
renault,wind,Wind
renault,zoe,ZOE
xin_kai,pickup_x3,Pickup X3
xin_kai,sr-v,SR-V X3
xin_kai,suv_x3,SUV X3
chrysler,180,180
chrysler,200,200
chrysler,300,300
chrysler,300_letter_series,300 Letter Series
chrysler,300c,300C
chrysler,300m,300M
chrysler,aspen,Aspen
chrysler,cirrus,Cirrus
chrysler,concorde,Concorde
chrysler,cordoba,Cordoba
chrysler,crossfire,Crossfire
chrysler,fifth_avenue,Fifth Avenue
chrysler,grand_voyager,Grand Voyager
chrysler,imperial,Imperial
chrysler,intrepid,Intrepid
chrysler,le_baron,Le Baron
chrysler,lhs,LHS
chrysler,neon,Neon
chrysler,new_yorker,New Yorker
chrysler,newport,Newport
chrysler,pacifica,Pacifica
chrysler,prowler,Prowler
chrysler,pt_cruiser,PT Cruiser
chrysler,saratoga,Saratoga
chrysler,sebring,Sebring
chrysler,stratus,Stratus
chrysler,town_country,Town and Country
chrysler,vision,Vision
chrysler,voyager,Voyager
chrysler,ypsilon,Ypsilon
van_hool,t8-series,T8-Series
van_hool,t9-series,T9-Series
solaris-agr,hc,HC
solaris-agr,hs,HS
solaris-agr,krs,KRS
solaris-agr,krx,KRX
arcfox,alpha-s,Alpha S
arcfox,alpha-s5,Alpha S5
arcfox,alpha_s6,Alpha S6
arcfox,alpha-t,Alpha T
arcfox,alpha-t1,Alpha T1
arcfox,alpha-t5,Alpha T5
arcfox,alpha-t6,Alpha T6
arcfox,beta_s3,Beta S3
arcfox,beta_t1,Beta T1
arcfox,kaola,Kaola
arcfox,lite,Lite
arcfox,wendao_v9,Wendao V9
hiphi,x,X
hiphi,y,Y
hiphi,z,Z
sitrak,c7h,C7H
erf,e-series,E-Series
erf,ec-series,EC-Series
bogdan,2110,2110
bogdan,2111,2111
bogdan,2310,Богдан 2310
tianma,century,Century
vauxhall,viva,Viva
infiniti,esq,ESQ
infiniti,ex25,EX25
infiniti,ex30d,EX30d
infiniti,ex35,EX35
infiniti,ex37,EX37
infiniti,fx30d,FX30d
infiniti,fx35,FX35
infiniti,fx37,FX37
infiniti,fx45,FX45
infiniti,fx50,FX50
infiniti,g20,G20
infiniti,g25,G25
infiniti,g35,G35
infiniti,g37,G37
infiniti,i30,I30
infiniti,i35,I35
infiniti,j30,J30
infiniti,jx35,JX35
infiniti,m25,M25
infiniti,m30,M30
infiniti,m30d,M30d
infiniti,m35,M35
infiniti,m35_hybrid,M35h
infiniti,m37,M37
infiniti,m45,M45
infiniti,m56,M56
infiniti,q30,Q30
infiniti,q40,Q40
infiniti,q45,Q45
infiniti,q50,Q50
infiniti,q60,Q60
infiniti,q70,Q70
infiniti,qx30,QX30
infiniti,qx4,QX4
infiniti,qx50,QX50
infiniti,qx55,QX55
infiniti,qx56,QX56
infiniti,qx60,QX60
infiniti,qx65,QX65
infiniti,qx70,QX70
infiniti,qx80,QX80
baz,s31a00,S31A00
baz,s31a30,S31A30
baz,s35a10,S35A10
baz,a079,А079
zuk,a06,A06
bajaj,qute,Qute
changfeng,liebao_leopard,Liebao Leopard
toyota,2000gt,2000GT
toyota,4runner,4Runner
toyota,allex,Allex
toyota,allion,Allion
toyota,alphard,Alphard
toyota,altezza,Altezza
toyota,aqua,Aqua
toyota,aristo,Aristo
toyota,aurion,Aurion
toyota,auris,Auris
toyota,avalon,Avalon
toyota,avanza,Avanza
toyota,avensis,Avensis
toyota,avensis_verso,Avensis Verso
toyota,aygo,Aygo
toyota,bb,bB
toyota,belta,Belta
toyota,blade,Blade
toyota,blizzard,Blizzard
toyota,brevis,Brevis
toyota,bz,bZ
toyota,bz_woodland,bZ Woodland
toyota,bz3,bZ3
toyota,bz3x,bZ3X
toyota,bz4x,bZ4X
toyota,bz4x_touring,bZ4X Touring
toyota,bz5,bZ5
toyota,bz7,bZ7
toyota,c_pod,C+pod
toyota,c-hr,C-HR
toyota,c-hr_plus,C-HR+
toyota,caldina,Caldina
toyota,cami,Cami
toyota,camry,Camry
toyota,camry_gracia,Camry Gracia
toyota,camry_prominent,Camry Prominent
toyota,carina,Carina
toyota,carina_e,Carina E
toyota,carina_ed,Carina ED
toyota,carina_ii,Carina II
toyota,cavalier,Cavalier
toyota,celica,Celica
toyota,celsior,Celsior
toyota,century,Century
toyota,chaser,Chaser
toyota,classic,Classic
toyota,comfort,Comfort
toyota,coms,COMS
toyota,copen,Copen
toyota,corolla,Corolla
toyota,corolla_altis,Corolla Altis
toyota,corolla_axio,Corolla Axio
toyota,corolla_ceres,Corolla Ceres
toyota,corolla_cross,Corolla Cross
toyota,corolla_fielder,Corolla Fielder
toyota,corolla_fx,Corolla FX
toyota,corolla_ii,Corolla II
toyota,corolla_im,Corolla iM
toyota,corolla_levin,Corolla Levin
toyota,corolla_rumion,Corolla Rumion
toyota,corolla_runx,Corolla Runx
toyota,corolla_spacio,Corolla Spacio
toyota,corolla_verso,Corolla Verso
toyota,corona,Corona
toyota,corona_exiv,Corona Exiv
toyota,corona_premio,Corona Premio
toyota,corona_sf,Corona SF
toyota,corsa,Corsa
toyota,cressida,Cressida
toyota,cresta,Cresta
toyota,crown,Crown
toyota,crown_kluger,Crown Kluger
toyota,crown_majesta,Crown Majesta
toyota,crown_signia,Crown Signia
toyota,crown_vellfire,Crown Vellfire
toyota,curren,Curren
toyota,cynos,Cynos
toyota,duet,Duet
toyota,echo,Echo
toyota,esquire,Esquire
toyota,estima,Estima
toyota,estima_emina,Estima Emina
toyota,estima_lucida,Estima Lucida
toyota,etios,Etios
toyota,etios_cross,Etios Cross
toyota,fj_cruiser,FJ Cruiser
toyota,fortuner,Fortuner
toyota,frontlander,Frontlander
toyota,funcargo,Funcargo
toyota,gaia,Gaia
toyota,gr_86,GR 86
toyota,gr_corolla,GR Corolla
toyota,gr_yaris,GR Yaris
toyota,granace,GranAce
toyota,grand_hiace,Grand Hiace
toyota,grand_highlander,Grand Highlander
toyota,granvia,Granvia
toyota,gt_86,GT 86
toyota,harrier,Harrier
toyota,hiace,Hiace
toyota,hiace_regius,Hiace Regius
toyota,highlander,Highlander
toyota,hilux_pick_up,Hilux
toyota,hilux_champ,Hilux Champ
toyota,hilux_surf,Hilux Surf
toyota,ipsum,Ipsum
toyota,iq,iQ
toyota,isis,Isis
toyota,ist,ist
toyota,izoa,Izoa
toyota,jpn-taxi,JPN TAXI
toyota,kluger_v,Kluger V
toyota,land_cruiser,Land Cruiser
toyota,land_cruiser_cygnus,Land Cruiser Cygnus
toyota,land_cruiser_fj,Land Cruiser FJ
toyota,land_cruiser_prado,Land Cruiser Prado
toyota,levin,Levin
toyota,lite_ace,Lite Ace
toyota,lite_ace_noah,Lite Ace Noah
toyota,mark_ii,Mark II
toyota,mark_ii_wagon_blit,Mark II Wagon Blit
toyota,mark_ii_wagon_qualis,Mark II Wagon Qualis
toyota,mark_x,Mark X
toyota,mark_x_zio,Mark X Zio
toyota,master_ace_surf,Master Ace Surf
toyota,matrix,Matrix
toyota,mega_cruiser,Mega Cruiser
toyota,mirai,Mirai
toyota,model_f,Model F
toyota,mr-s,MR-S
toyota,mr2,MR2
toyota,nadia,Nadia
toyota,noah,Noah
toyota,opa,Opa
toyota,origin,Origin
toyota,paseo,Paseo
toyota,passo,Passo
toyota,passo_sette,Passo Sette
toyota,picnic,Picnic
toyota,pixis_epoch,Pixis Epoch
toyota,pixis_joy,Pixis Joy
toyota,pixis_mega,Pixis Mega
toyota,pixis_space,Pixis Space
toyota,pixis_van,Pixis Van
toyota,platz,Platz
toyota,porte,Porte
toyota,premio,Premio
toyota,previa,Previa
toyota,prius,Prius
toyota,prius_a,Prius Alpha
toyota,prius_c,Prius C
toyota,prius_phv,Prius PHV
toyota,prius_plus,Prius Plus
toyota,prius_prime,Prius Prime
toyota,prius_v,Prius v
toyota,proace,Proace
toyota,proace_city,Proace City
toyota,proace_verso,Proace Verso
toyota,probox,Probox
toyota,progres,Progres
toyota,pronard,Pronard
toyota,publica,Publica
toyota,ractis,Ractis
toyota,raize,Raize
toyota,raum,Raum
toyota,rav4,RAV4
toyota,regius,Regius
toyota,regius_ace,Regius Ace
toyota,reiz,Reiz
toyota,roomy,Roomy
toyota,rush,Rush
toyota,sai,Sai
toyota,scepter,Scepter
toyota,sd,SD
toyota,sequoia,Sequoia
toyota,sera,Sera
toyota,sf,SF
toyota,sienna,Sienna
toyota,sienta,Sienta
toyota,soarer,Soarer
toyota,solara,Solara
toyota,soluna,Soluna
toyota,spade,Spade
toyota,sparky,Sparky
toyota,sprinter,Sprinter
toyota,sprinter_carib,Sprinter Carib
toyota,sprinter_marino,Sprinter Marino
toyota,sprinter_trueno,Sprinter Trueno
toyota,starlet,Starlet
toyota,succeed,Succeed
toyota,supra,Supra
toyota,t100,T100
toyota,tacoma,Tacoma
toyota,tank,Tank
toyota,tercel,Tercel
toyota,touring_hiace,Touring Hiace
toyota,town_ace,Town Ace
toyota,town_ace_noah,Town Ace Noah
toyota,tundra,Tundra
toyota,urban_cruiser,Urban Cruiser
toyota,vanguard,Vanguard
toyota,vellfire,Vellfire
toyota,veloz,Veloz
toyota,venza,Venza
toyota,verossa,Verossa
toyota,verso,Verso
toyota,verso-s,Verso-S
toyota,vios,Vios
toyota,vista,Vista
toyota,vista_ardeo,Vista Ardeo
toyota,vitz,Vitz
toyota,voltz,Voltz
toyota,voxy,Voxy
toyota,wigo,Wigo
toyota,wildlander,Wildlander
toyota,will_cypha,WiLL Cypha
toyota,will_vi,WiLL Vi
toyota,will_vs,WiLL VS
toyota,windom,Windom
toyota,wish,Wish
toyota,xa,xA
toyota,yaris,Yaris
toyota,yaris_ativ,Yaris Ativ
toyota,yaris_cross,Yaris Cross
toyota,yaris_ia,Yaris iA
toyota,yaris_l,Yaris L
toyota,yaris_verso,Yaris Verso
buick,cascada,Cascada
buick,century,Century
buick,electra_e5,Electra E5
buick,electra_e7,Electra E7
buick,electra_l7,Electra L7
buick,enclave,Enclave
buick,encore,Encore
buick,encore_gx,Encore GX
buick,envision,Envision
buick,envision_plus,Envision Plus
buick,envista,Envista
buick,excelle,Excelle
buick,excelle_gt,Excelle GT
buick,excelle_gx,Excelle GX
buick,excelle_xt,Excelle XT
buick,gl6,GL6
buick,gl8,GL8
buick,gl8_avenir,GL8 Avenir
buick,gl8_century,GL8 Century
buick,gl8_encasa,GL8 Encasa
buick,gl8_es,GL8 ES
buick,gl8_firstland,GL8 Firstland
buick,lacrosse,LaCrosse
buick,lesabre,LeSabre
buick,lucerne,Lucerne
buick,park_avenue,Park Avenue
buick,rainier,Rainier
buick,regal,Regal
buick,rendezvous,Rendezvous
buick,riviera,Riviera
buick,sail,Sail
buick,skylark,Skylark
buick,special,Special
buick,terraza,Terraza
buick,velite_5,Velite 5
buick,velite_6,Velite 6
buick,velite_7,Velite 7
buick,verano,Verano
buick,verano_gs,Verano GS
buick,verano_pro,Verano Pro
leapmotor,a05,A05
leapmotor,a10,A10
leapmotor,b01,B01
leapmotor,b10,B10
leapmotor,c01,C01
leapmotor,c10,C10
leapmotor,c11,C11
leapmotor,c16,C16
leapmotor,d19,D19
leapmotor,d99,D99
leapmotor,lafa_5,Lafa 5
leapmotor,s01,S01
leapmotor,t03,T03
forthing,joyear_s50,Joyear S50
forthing,joyear_x3,Joyear X3
forthing,joyear_x5,Joyear X5
forthing,joyear_x6,Joyear X6
forthing,yacht,M4 Yacht
forthing,forthing_m5,M5
forthing,m7,M7
forthing,s7,S7
forthing,forthing_t5,T5
forthing,forthing_t5_evo,T5 EVO
forthing,thunder,Thunder
forthing,v9,V9
smart,1,#1
smart,3,#3
smart,5,#5
smart,6,#6
smart,city,City
smart,rossblade,Crossblade
smart,forfour,Forfour
smart,fortwo,Fortwo
smart,roadster,Roadster
acura,adx,ADX
acura,cdx,CDX
acura,cl,CL
acura,el,EL
acura,ilx,ILX
acura,integra,Integra
acura,legend,Legend
acura,mdx,MDX
acura,nsx,NSX
acura,rdx,RDX
acura,rl,RL
acura,rlx,RLX
acura,rsx,RSX
acura,slx,SLX
acura,tl,TL
acura,tlx,TLX
acura,tsx,TSX
acura,vigor,Vigor
acura,zdx,ZDX
rox,01,01
rox,adamas,Adamas
aston_martin,ar1,AR1
aston_martin,cygnet,Cygnet
aston_martin,db11,DB11
aston_martin,db12,DB12
aston_martin,db5,DB5
aston_martin,db7,DB7
aston_martin,db9,DB9
aston_martin,dbs,DBS
aston_martin,dbx,DBX
aston_martin,lagonda,Lagonda
aston_martin,one-77,One-77
aston_martin,rapide,Rapide
aston_martin,tickford_capri,Tickford Capri
aston_martin,vanquish,Vanquish
aston_martin,vantage,Vantage
aston_martin,virage,Virage
aston_martin,zagato,Zagato
fso,varszawa,Warszawa
kuayue,f3,F3
guran,2318,2318
camc,hn3250,HN3250
camc,hn3310,HN3310
skm,m7,M7
ac,cobra,Cobra
haima,2,2
haima,3,3
haima,6p,6P
haima,7,7
haima,7x,7X
haima,7x-e,7X-E
haima,8s,8S
haima,aishang_ev,Aishang EV
haima,e3,E3
haima,family,Family
haima,family_f5,Family F5
haima,family_f7,Family F7
haima,freema,Freema
haima,m3,M3
hyundai,accent,Accent
hyundai,atos,Atos
hyundai,avante,Avante
hyundai,azera,Azera
hyundai,bayon,Bayon
hyundai,casper,Casper
hyundai,celesta,Celesta
hyundai,centennial,Centennial
hyundai,coupe-model,Coupe
hyundai,creta,Creta
hyundai,custin,Custin
hyundai,custo,Custo
hyundai,elantra,Elantra
hyundai,elexio,Elexio
hyundai,encino,Encino
hyundai,entourage,Entourage
hyundai,equus,Equus
hyundai,galloper,Galloper
hyundai,genesis,Genesis
hyundai,getz,Getz
hyundai,grace,Grace
hyundai,grand_creta,Grand Creta
hyundai,grand_santa_fe,Grand Santa Fe
hyundai,grandeur,Grandeur
hyundai,h1,H1
hyundai,h100,H100
hyundai,i10,i10
hyundai,i20,i20
hyundai,i20_active,i20 Active
hyundai,i30,i30
hyundai,i40,i40
hyundai,inster,Inster
hyundai,ioniq,Ioniq
hyundai,ioniq_3,Ioniq 3
hyundai,ioniq_5,Ioniq 5
hyundai,ioniq_6,Ioniq 6
hyundai,ioniq_9,Ioniq 9
hyundai,ix25,ix25
hyundai,ix35,ix35
hyundai,ix55,ix55
hyundai,kona,Kona
hyundai,kona_electric,Kona Electric
hyundai,lafesta,Lafesta
hyundai,lantra,Lantra
hyundai,lavita,Lavita
hyundai,matrix,Matrix
hyundai,maxcruze,Maxcruze
hyundai,mistra,Mistra
hyundai,mufasa,Mufasa
hyundai,nexo,Nexo
hyundai,nf,NF
hyundai,palisade,Palisade
hyundai,presto,Presto
hyundai,s_coupe,S Coupe
hyundai,santa_cruz,Santa Cruz
hyundai,santa_fe,Santa Fe
hyundai,santa_fe_classic,Santa Fe Classic
hyundai,solaris,Solaris
hyundai,sonata,Sonata
hyundai,starex,Starex
hyundai,stargazer,Stargazer
hyundai,staria,Staria
hyundai,terracan,Terracan
hyundai,tiburon,Tiburon
hyundai,trajet,Trajet
hyundai,tucson,Tucson
hyundai,tuscani,Tuscani
hyundai,veloster,Veloster
hyundai,venue,Venue
hyundai,veracruz,Veracruz
hyundai,verna,Verna
hyundai,hg,XG
gmc,acadia,Acadia
gmc,canyon,Canyon
gmc,envoy,Envoy
gmc,hummer_ev,Hummer EV
gmc,jimmy,Jimmy
gmc,sierra,Sierra
gmc,sierra_ev,Sierra EV
gmc,suburban,Suburban
gmc,terrain,Terrain
gmc,typhoon,Typhoon
gmc,yukon,Yukon
gmc,savana,GMC Savana
gmc,vandura,GMC Vandura
luxgen,7_mpv,7 MPV
luxgen,7_suv,7 SUV
luxgen,u6,U6
hongyan,bev,BEV
hongyan,genlyon,Genlyon
hongyan,kingkan,Kingkan
king_long,xmq6127c,XMQ6127C
king_long,xmq6129y,XMQ6129Y
deepal,g318,G318
deepal,l06,L06
deepal,l07,L07
deepal,s05,S05
deepal,s07,S07
deepal,s09,S09
deepal,sl03,SL03
jinbei,haise,Haise
jinbei,haixing_x30,Haixing X30
kraz,250,250
kraz,255,255
kraz,260,260
kraz,6437,6437
kraz,6443,6443
international,9000_series,9000 Series
international,cxt,CXT
international,mxt,MXT
international,prostar_4x2,ProStar 4x2
international,prostar_6x2,ProStar 6x2
international,prostar_6x4,ProStar 6x4
jmc,baodian,Baodian
jmc,dadao,Dadao
jmc,vigus,Vigus
jmc,yuhu_5,Yuhu 5
jmc,yuhu_7,Yuhu 7
jmc,yuhu_9,Yuhu 9
belgee,s50,S50
belgee,x50,X50
belgee,x50_plus,X50+
belgee,x70,X70
belgee,x80,X80
wuling,astra,Asta
wuling,bingo,Bingo
wuling,fighting,Fighting
wuling,hongguang,Hongguang
wuling,mini_ev,Hongguang Mini EV
wuling,hongguang_plus,Hongguang Plus
wuling,hongguang_s,Hongguang S
wuling,hongguang_s_classic,Hongguang S Classic
wuling,hongguang_s1,Hongguang S1
wuling,hongguang_s3,Hongguang S3
wuling,hongguang_v,Hongguang V
wuling,jiachen,Jiachen
wuling,rongguang,Rongguang
wuling,rongguang_s,Rongguang S
wuling,starlight,Starlight
wuling,starlight_730,Starlight 730
wuling,sunshine,Sunshine
wuling,victory,Victory
wuling,xingchen,Xingchen
wuling,xingchi,Xingchi
wuling,zhengcheng,Zhengcheng
wuling,zhiguang_ev,Zhiguang EV
higer,klq_6119,KLQ 6119
higer,klq_6122,KLQ 6122
higer,klq_6128,KLQ 6128
higer,klq_6129,KLQ 6129
higer,klq_6720,KLQ 6720
higer,klq_6840,KLQ 6840
higer,klq_6885,KLQ 6885
higer,klq_6928,KLQ 6928
